start_timestamps,function,duration,parameters
1620521960.293572,lrtrain,47935.0,['20M-reviews.csv']
1620521960.3202827,sentiment,14421.0,['2500-strings.json']
1620521960.4032235,encrypt,8655.0,"['50000.0', '25.0']"
1620521960.533429,floatmatmult,31556.0,"['matrix1_6000_0.5.txt', 'matrix1_6000_0.5.txt']"
1620521960.6285837,videoprocess,531.0,['820K-cbw3.avi']
1620521960.8348224,floatmatmult,10375.5,"['matrix1_4000_0.1.txt', 'matrix1_4000_0.1.txt']"
1620521960.8964837,videoprocess,397.0,['284K-flame.avi']
1620521960.962094,videoprocess,4964.0,['2.2M.mp4']
1620521961.056866,mobilenet,3114.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521961.1939006,mobilenet,3053.5,['7.8M-26365_kitty_515094.jpg']
1620521961.3497722,videoprocess,814.5,['404K-small.avi']
1620521961.410326,imageprocess,2934.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521961.470343,imageprocess,1640.5,['7.8M-26365_kitty_515094.jpg']
1620521961.4743094,lrtrain,208818.0,['100M-reviews.csv']
1620521961.537656,sentiment,4663.0,['750-strings.json']
1620521961.7690146,floatmatmult,3300.0,"['matrix1_2000_0.5.txt', 'matrix1_2000_0.5.txt']"
1620521961.8228927,mobilenet,2941.0,['5.7M-winter_in_leeds_513733.jpg']
1620521961.9945343,imageprocess,1073.5,['5.7M-winter_in_leeds_513733.jpg']
1620521962.084652,floatmatmult,33575.0,"['matrix1_6000_0.7.txt', 'matrix1_6000_0.7.txt']"
1620521962.139443,mobilenet,3472.5,['30M-river_landscape_515440.jpg']
1620521962.166195,videoprocess,8385.0,['4.9M.mp4']
1620521962.3622706,floatmatmult,59077.5,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']"
1620521962.3649583,encrypt,3488.5,"['10000.0', '50.0']"
1620521962.6231828,encrypt,3549.0,"['5000.0', '100.0']"
1620521962.6276326,mobilenet,2997.5,['6.1M-simple_landscape_2_515009.jpg']
1620521962.6681533,floatmatmult,51849.0,"['matrix1_8000_0.3.txt', 'matrix1_8000_0.3.txt']"
1620521962.694124,sentiment,16049.5,['2750-strings.json']
1620521962.9857676,sentiment,6034.0,['1000-strings.json']
1620521962.9975398,videoprocess,4683.5,['3.8M-lion-sample.avi']
1620521963.3688495,encrypt,3518.5,"['50000.0', '10.0']"
1620521963.6863842,linpack,35822.1924184261,['9000.0']
1620521963.7729924,lrtrain,105881.0,['50M-reviews.csv']
1620521964.0229554,imageprocess,3441.5,['30M-river_landscape_515440.jpg']
1620521964.0929873,linpack,13916.737044145872,['2500.0']
1620521964.1289415,lrtrain,15365.0,['10M-reviews.csv']
1620521964.2945898,linpack,24026.947216890592,['5500.0']
1620521964.3239374,floatmatmult,34877.5,"['matrix1_6000_0.9.txt', 'matrix1_6000_0.9.txt']"
1620521964.4648347,lrtrain,47935.0,['20M-reviews.csv']
1620521964.55047,encrypt,6981.0,"['10000.0', '100.0']"
1620521964.880118,videoprocess,475.0,['660K-drop.avi']
1620521964.9501529,mobilenet,3089.0,['5.6M-pink_sorrel_515688.jpg']
1620521965.132565,sentiment,1786.5,['250-strings.json']
1620521965.2368066,lrtrain,208818.0,['100M-reviews.csv']
1620521965.2946272,videoprocess,9439.0,['6.1M.mp4']
1620521965.3999605,sentiment,521.0,['50-strings.json']
1620521965.4331365,floatmatmult,12201.5,"['matrix1_4000_0.5.txt', 'matrix1_4000_0.5.txt']"
1620521965.4509525,sentiment,12872.0,['2250-strings.json']
1620521965.4776917,mobilenet,3360.0,['13M-forest_515915.jpg']
1620521965.6362367,videoprocess,3078.5,['4.9M-640.avi']
1620521965.6649826,encrypt,2701.0,"['5000.0', '75.0']"
1620521965.6743813,sentiment,804.5,['100-strings.json']
1620521965.845124,linpack,20656.87715930902,['4500.0']
1620521965.8853495,floatmatmult,26583.0,"['matrix1_6000_0.1.txt', 'matrix1_6000_0.1.txt']"
1620521965.9811845,linpack,2522.0,['500.0']
1620521966.2577028,imageprocess,1482.0,['6.1M-simple_landscape_2_515009.jpg']
1620521966.3830116,videoprocess,3086.0,['1008K-grb_2.avi']
1620521966.5814643,linpack,37507.22744721689,['9500.0']
1620521966.7204053,mobilenet,2996.5,['4.5M-forest_513174.jpg']
1620521966.7322133,videoprocess,17160.5,['11M-SampleVideo_1280x720_10mb.mp4']
1620521966.85356,floatmatmult,3006.0,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']"
1620521966.9364662,mobilenet,3065.0,['6.1M-fire_514822.jpg']
1620521966.9521914,sentiment,3266.5,['500-strings.json']
1620521967.0782175,floatmatmult,13297.5,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']"
1620521967.3695097,mobilenet,3055.5,['6.2M-dark_city_513227.jpg']
1620521967.9762146,linpack,15601.77207293666,['3000.0']
1620521968.090644,encrypt,757.0,"['1000.0', '100.0']"
1620521968.124873,encrypt,223.0,"['500.0', '50.0']"
