start_timestamps,function,duration,parameters
1620521961.1939006,floatmatmult,31556.0,"['matrix1_6000_0.5.txt', 'matrix1_6000_0.5.txt']"
1620521961.9945343,mobilenet,3114.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521962.6231828,lrtrain,47935.0,['20M-reviews.csv']
1620521962.694124,videoprocess,531.0,['820K-cbw3.avi']
1620521963.3688495,linpack,35822.1924184261,['9000.0']
1620521963.7729924,floatmatmult,10375.5,"['matrix1_4000_0.1.txt', 'matrix1_4000_0.1.txt']"
1620521965.132565,videoprocess,397.0,['284K-flame.avi']
1620521965.6649826,imageprocess,2934.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521967.0782175,floatmatmult,3300.0,"['matrix1_2000_0.5.txt', 'matrix1_2000_0.5.txt']"
1620521968.090644,mobilenet,3053.5,['7.8M-26365_kitty_515094.jpg']
1620521969.0476823,floatmatmult,33575.0,"['matrix1_6000_0.7.txt', 'matrix1_6000_0.7.txt']"
1620521969.049081,lrtrain,208818.0,['100M-reviews.csv']
1620521969.8903992,linpack,13916.737044145872,['2500.0']
1620521970.5458481,sentiment,14421.0,['2500-strings.json']
1620521970.6374617,floatmatmult,59077.5,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']"
1620521970.7215583,mobilenet,2941.0,['5.7M-winter_in_leeds_513733.jpg']
1620521971.367006,sentiment,4663.0,['750-strings.json']
1620521971.5810795,sentiment,16049.5,['2750-strings.json']
1620521972.3156683,linpack,24026.947216890592,['5500.0']
1620521975.009239,imageprocess,1640.5,['7.8M-26365_kitty_515094.jpg']
1620521976.8912902,imageprocess,1073.5,['5.7M-winter_in_leeds_513733.jpg']
1620521976.9443896,linpack,20656.87715930902,['4500.0']
1620521977.64605,floatmatmult,51849.0,"['matrix1_8000_0.3.txt', 'matrix1_8000_0.3.txt']"
1620521977.6675987,linpack,2522.0,['500.0']
1620521978.0792425,videoprocess,4964.0,['2.2M.mp4']
1620521978.8691592,encrypt,8655.0,"['50000.0', '25.0']"
1620521981.248987,linpack,37507.22744721689,['9500.0']
1620521982.5432827,linpack,15601.77207293666,['3000.0']
1620521985.0528111,encrypt,3488.5,"['10000.0', '50.0']"
1620521985.5288446,linpack,34137.157389635315,['8500.0']
1620521986.452059,lrtrain,105881.0,['50M-reviews.csv']
1620521988.7202609,linpack,8019.114443378119,['750.0']
1620521989.8255975,imageprocess,3441.5,['30M-river_landscape_515440.jpg']
1620521990.1639452,lrtrain,15365.0,['10M-reviews.csv']
1620521990.435873,mobilenet,3472.5,['30M-river_landscape_515440.jpg']
1620521991.709196,encrypt,3549.0,"['5000.0', '100.0']"
1620521994.360045,sentiment,6034.0,['1000-strings.json']
1620521994.6781988,imageprocess,1482.0,['6.1M-simple_landscape_2_515009.jpg']
1620521994.722192,sentiment,1786.5,['250-strings.json']
1620521994.8646708,imageprocess,2262.5,['5.6M-pink_sorrel_515688.jpg']
