start_timestamps,function,duration,parameters
1620521960.293572,mobilenet,3114.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521960.3202827,encrypt,8655.0,"['50000.0', '25.0']"
1620521960.4032235,imageprocess,2934.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521960.533429,linpack,35822.1924184261,['9000.0']
1620521960.6285837,floatmatmult,31556.0,"['matrix1_6000_0.5.txt', 'matrix1_6000_0.5.txt']"
1620521960.6585114,mobilenet,3053.5,['7.8M-26365_kitty_515094.jpg']
1620521960.7049596,imageprocess,1640.5,['7.8M-26365_kitty_515094.jpg']
1620521960.8348224,imageprocess,1073.5,['5.7M-winter_in_leeds_513733.jpg']
1620521960.8964837,encrypt,3488.5,"['10000.0', '50.0']"
1620521960.962094,linpack,13916.737044145872,['2500.0']
1620521961.056866,linpack,24026.947216890592,['5500.0']
1620521961.1939006,imageprocess,3441.5,['30M-river_landscape_515440.jpg']
1620521961.3497722,floatmatmult,10375.5,"['matrix1_4000_0.1.txt', 'matrix1_4000_0.1.txt']"
1620521961.410326,videoprocess,531.0,['820K-cbw3.avi']
1620521961.470343,videoprocess,397.0,['284K-flame.avi']
1620521961.4743094,imageprocess,1482.0,['6.1M-simple_landscape_2_515009.jpg']
1620521961.537656,lrtrain,47935.0,['20M-reviews.csv']
1620521961.7690146,floatmatmult,3300.0,"['matrix1_2000_0.5.txt', 'matrix1_2000_0.5.txt']"
1620521961.8228927,mobilenet,2941.0,['5.7M-winter_in_leeds_513733.jpg']
1620521961.9945343,linpack,20656.87715930902,['4500.0']
1620521962.084652,imageprocess,2262.5,['5.6M-pink_sorrel_515688.jpg']
1620521962.139443,videoprocess,4964.0,['2.2M.mp4']
1620521962.166195,imageprocess,4576.5,['13M-forest_515915.jpg']
1620521962.3622706,floatmatmult,33575.0,"['matrix1_6000_0.7.txt', 'matrix1_6000_0.7.txt']"
1620521962.3649583,linpack,2522.0,['500.0']
1620521962.503275,linpack,37507.22744721689,['9500.0']
1620521962.6231828,floatmatmult,59077.5,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']"
1620521962.6276326,encrypt,3549.0,"['5000.0', '100.0']"
1620521962.6681533,mobilenet,3472.5,['30M-river_landscape_515440.jpg']
1620521962.694124,videoprocess,814.5,['404K-small.avi']
1620521962.9857676,floatmatmult,51849.0,"['matrix1_8000_0.3.txt', 'matrix1_8000_0.3.txt']"
1620521962.9975398,lrtrain,208818.0,['100M-reviews.csv']
1620521963.26559,encrypt,3518.5,"['50000.0', '10.0']"
1620521963.338408,videoprocess,8385.0,['4.9M.mp4']
1620521963.3688495,linpack,15601.77207293666,['3000.0']
1620521963.6863842,lrtrain,105881.0,['50M-reviews.csv']
1620521963.7729924,linpack,34137.157389635315,['8500.0']
1620521964.0229554,sentiment,14421.0,['2500-strings.json']
1620521964.0929873,sentiment,4663.0,['750-strings.json']
1620521964.1289415,floatmatmult,34877.5,"['matrix1_6000_0.9.txt', 'matrix1_6000_0.9.txt']"
1620521964.2202544,videoprocess,4683.5,['3.8M-lion-sample.avi']
1620521964.2802007,lrtrain,15365.0,['10M-reviews.csv']
1620521964.2945898,floatmatmult,12201.5,"['matrix1_4000_0.5.txt', 'matrix1_4000_0.5.txt']"
1620521964.3239374,videoprocess,475.0,['660K-drop.avi']
1620521964.4648347,videoprocess,9439.0,['6.1M.mp4']
1620521964.55047,sentiment,16049.5,['2750-strings.json']
1620521964.7182293,sentiment,6034.0,['1000-strings.json']
1620521964.8430417,linpack,8019.114443378119,['750.0']
1620521964.8781948,floatmatmult,26583.0,"['matrix1_6000_0.1.txt', 'matrix1_6000_0.1.txt']"
1620521964.880118,lrtrain,47935.0,['20M-reviews.csv']
1620521964.9205873,sentiment,1786.5,['250-strings.json']
1620521964.9501529,encrypt,6981.0,"['10000.0', '100.0']"
1620521965.132565,sentiment,521.0,['50-strings.json']
1620521965.2368066,mobilenet,2997.5,['6.1M-simple_landscape_2_515009.jpg']
1620521965.289954,linpack,31019.5,['7500.0']
1620521965.2946272,mobilenet,3089.0,['5.6M-pink_sorrel_515688.jpg']
1620521965.3999605,imageprocess,1498.0,['4.5M-forest_513174.jpg']
1620521965.4331365,imageprocess,1821.0,['6.1M-fire_514822.jpg']
1620521965.4509525,imageprocess,1697.0,['6.2M-dark_city_513227.jpg']
1620521965.4776917,sentiment,12872.0,['2250-strings.json']
1620521965.6362367,sentiment,804.5,['100-strings.json']
1620521965.6649826,mobilenet,3360.0,['13M-forest_515915.jpg']
1620521965.6743813,sentiment,3266.5,['500-strings.json']
1620521965.845124,linpack,27397.017274472164,['6500.0']
1620521965.8651152,linpack,15221.0,['2000.0']
1620521965.8853495,mobilenet,2996.5,['4.5M-forest_513174.jpg']
1620521965.9811845,linpack,7837.5,['1000.0']
1620521966.2577028,encrypt,2701.0,"['5000.0', '75.0']"
